id,user_name,created_at,text
1557169788891308033,Kellogg Company,2022-08-10 00:59:43+00:00,"b'What\xe2\x80\x99s Kellogg\xe2\x80\x99s Better Days Promise? It\xe2\x80\x99s our promise to advance sustainable, equitable access to food-for all. Se\xe2\x80\xa6 https://t.co/kn4KTPy18R'"
1555189274332512258,Kellogg Company,2022-08-04 13:49:51+00:00,"b'Kellogg CFO Amit Banati: We feel good enough about our business that today, we can raise our full-year guidance on\xe2\x80\xa6 https://t.co/WjxjNNUeG4'"
1555185613346934785,Kellogg Company,2022-08-04 13:35:18+00:00,"b'Kellogg Chairman &amp; CEO Steve Cahillane: \xe2\x80\xa6an exceptional quarter for North America\xe2\x80\xa6driven not only by snacks, but al\xe2\x80\xa6 https://t.co/MkhaWweEfw'"
1555185460690960384,Kellogg Company,2022-08-04 13:34:42+00:00,b'Kellogg Chairman &amp; CEO Steve Cahillane: Our international Regions collectively posted yet another quarter of strong\xe2\x80\xa6 https://t.co/0eKDZ4KUrC'
1555185255094648834,Kellogg Company,2022-08-04 13:33:53+00:00,"b'We remain committed to our planet and community, as evidenced by our strong push in various areas of ESG. https://t.co/8D0aAVZfpK'"
1555185110101770243,Kellogg Company,2022-08-04 13:33:18+00:00,b'Kellogg Chairman &amp; CEO Steve Cahillane: We are pleased to be able to report yet another quarter of strong performan\xe2\x80\xa6 https://t.co/EdwCiQEx48'
1555150364449685506,Kellogg Company,2022-08-04 11:15:14+00:00,b'Kellogg Company to release Q2 2022 results this morning at 8 am ET. Webcast at 9:30 am ET.  $K\xe2\x80\xa6 https://t.co/tZEJktT7sU'
1554836239848681472,Kellogg Company,2022-08-03 14:27:01+00:00,b'Kellogg is proud to have veterans like Charles as part of our team \xe2\x80\x93 we thank you for your service to our country a\xe2\x80\xa6 https://t.co/pdoWXwmQyP'
1554473438663905281,Kellogg Company,2022-08-02 14:25:23+00:00,"b'Our hearts are with the flooding victims in Kentucky and Missouri. We are donating nearly 450,000 servings of snack\xe2\x80\xa6 https://t.co/pm9QC2Pfik'"
1551613111425290247,Kellogg Company,2022-07-25 16:59:27+00:00,"b""We're calling for food justice in Black communities and a hunger-free world for all. We worked with @wfpusa to supp\xe2\x80\xa6 https://t.co/cSfUcXMUVL"""
1547982864192393216,Kellogg Company,2022-07-15 16:34:09+00:00,b'Tackling climate change can\xe2\x80\x99t be done alone. That\xe2\x80\x99s why we are partnering w/ @RegrowAg + U.S. rice farmers to reduc\xe2\x80\xa6 https://t.co/fCeQG93KLW'
1547605969655304194,Kellogg Company,2022-07-14 15:36:30+00:00,b'Tackling climate change can\xe2\x80\x99t be done alone. That\xe2\x80\x99s why we are partnering w/ @RegrowAg + U.S. rice farmers to reduc\xe2\x80\xa6 https://t.co/u1tRzVq0Ti'
1547552414290542598,Kellogg Company,2022-07-14 12:03:42+00:00,b'Thanks @DonorsChoose and everyone who supports our children and their teachers! #BetterDays https://t.co/lyl6OCAJSB'
1547233389991698432,Kellogg Company,2022-07-13 14:56:01+00:00,b'Looking to build leadership &amp; other professional skills? Try skills-based volunteering! Read about the benefits &amp; h\xe2\x80\xa6 https://t.co/kIICv0GjEt'
1546519711659298823,Kellogg Company,2022-07-11 15:40:06+00:00,"b'Kellogg is proud to be recognized by the Women\xe2\x80\x99s Business Enterprise National Council, as one of America\xe2\x80\x99s Top Corp\xe2\x80\xa6 https://t.co/VSScCY09V1'"
1545146386169077761,Kellogg Company,2022-07-07 20:43:00+00:00,b'School breakfast programs are critical to helpi kids reach their full potential. Kellogg &amp; @Share Our Strength part\xe2\x80\xa6 https://t.co/V3sWrwg7AN'
1544822506804199424,Kellogg Company,2022-07-06 23:16:01+00:00,"b'What Rice Krispies treat recipe will you &amp; your family make first? Vote between now and July 23, 2022 at\xe2\x80\xa6 https://t.co/tH58yeX3S4'"
1544702552058601472,Kellogg Company,2022-07-06 15:19:22+00:00,b'Bonding over breakfast? Recent research suggests that not only can school breakfast help improve health + nutrition\xe2\x80\xa6 https://t.co/C4eR6kS3wS'
1542882660292481028,Kellogg Company,2022-07-01 14:47:46+00:00,"b'How can companies promote acceptance for the #LGBTQ? Watch Benn Schorr, co-chair of our K Pride &amp; Allies employee r\xe2\x80\xa6 https://t.co/JWSdq2SChS'"
1542587488518168577,Kellogg Company,2022-06-30 19:14:51+00:00,b'Proud to partner with you to help create #BetterDays! https://t.co/qqwoholQKC'
1542517814577299456,Kellogg Company,2022-06-30 14:38:00+00:00,"b'We are passionate about positive, authentic portrayals that reinforce cultures and create #betterdays.  Learn about\xe2\x80\xa6 https://t.co/yBOLxOLhpS'"
1541802664769589250,Kellogg Company,2022-06-28 15:16:15+00:00,"b'As food insecurity continues to rise, food banks are a vital resource to their communities. We are proud to support\xe2\x80\xa6 https://t.co/2YB757I14W'"
1540311280342499328,Kellogg Company,2022-06-24 12:30:01+00:00,"b'Tony was in Grand Rapids, MI to help us donate more than 435,000 servings of cereal and snacks to support @United W\xe2\x80\xa6 https://t.co/lFguolD0Xd'"
1539283857828093955,Kellogg Company,2022-06-21 16:27:24+00:00,"b""Hear from Kellogg Company CEO Steve Cahillane about the bold next steps we're taking to unleash our potential.\xe2\x80\xa6 https://t.co/iGRcIiBCGo"""
1539238968784523265,Kellogg Company,2022-06-21 13:29:02+00:00,"b""The bold next steps we're taking to transform our portfolio will result in three independent, public companies: Glo\xe2\x80\xa6 https://t.co/2qiPx1eiKG"""
1539202675241369601,Kellogg Company,2022-06-21 11:04:49+00:00,b'We are unleashing our potential by announcing our plan to separate our North American cereal and plant-based foods\xe2\x80\xa6 https://t.co/HoLK0lVwL6'
1537162828724985860,Kellogg Company,2022-06-15 19:59:12+00:00,"b""At Kellogg, we're shaping the future through innovation, advanced capabilities, and data and analytics. Read more f\xe2\x80\xa6 https://t.co/a1j3uBeSqc"""
